route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000039,OCESN13114F3516812:2025-01-24T00:40:05Z,13114,1,97,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13114F3594282:2025-01-21T00:39:14Z,13114,1,98,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000040,OCESN13115F3517819:2025-01-22T00:42:25Z,13115,0,99,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000041,OCESN13115F3679481:2025-01-24T00:40:05Z,13115,0,100,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000003,OCESN13116F3532642:2025-01-24T00:40:05Z,13116,1,101,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13117F3517615:2024-11-29T10:03:28Z,13117,0,102,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000022,OCESN13117F3517755:2025-01-24T00:40:05Z,13117,0,103,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000042,OCESN13117F3517767:2025-01-22T00:42:25Z,13117,0,104,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13117F3525606:2025-01-24T00:40:05Z,13117,0,105,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000030,OCESN13117F3527533:2025-01-22T00:42:25Z,13117,0,106,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13117F3546380:2024-11-29T10:03:28Z,13117,0,107,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000043,OCESN13117F3827224:2025-01-22T00:42:25Z,13117,0,108,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13117F3833494:2025-01-22T00:42:25Z,13117,0,109,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000044,OCESN13118F3517151:2025-01-24T00:40:05Z,13118,1,110,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13118F3517809:2024-11-29T10:03:28Z,13118,1,111,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000024,OCESN13118F3518473:2025-01-22T00:42:25Z,13118,1,112,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000025,OCESN13118F3545138:2025-01-10T00:20:33Z,13118,1,113,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13118F3546145:2025-01-10T00:20:33Z,13118,1,114,
